instrument_code,price_source_code,price_ts,price_type,price,currency_code,is_eod_flag,source_system,source_ref,ingest_batch_id
EQ-IBM,BBG,2025-01-02T21:00:00Z,CLOSE,213.184967,USD,true,SEED,PX00001,B2
EQ-IBM,BBG,2025-03-31T21:00:00Z,CLOSE,242.628601,USD,true,SEED,PX00002,B2
EQ-IBM,BBG,2025-06-30T21:00:00Z,CLOSE,289.543976,USD,true,SEED,PX00003,B2
EQ-IBM,BBG,2025-09-30T21:00:00Z,CLOSE,279.021973,USD,true,SEED,PX00004,B2
EQ-IBM,BBG,2025-12-31T21:00:00Z,CLOSE,294.530731,USD,true,SEED,PX00005,B2
EQ-IBM,BBG,2026-01-31T21:00:00Z,CLOSE,304.961273,USD,true,SEED,PX00006,B2
EQ-IBM,BBG,2026-03-19T21:00:00Z,CLOSE,250.369995,USD,true,SEED,PX00007,B2
EQ-IBM,BBG,2026-03-20T21:00:00Z,CLOSE,241.770004,USD,true,SEED,PX00008,B2
EQ-AAPL,BBG,2025-01-02T21:00:00Z,CLOSE,242.525177,USD,true,SEED,PX00009,B2
EQ-AAPL,BBG,2025-03-31T21:00:00Z,CLOSE,221.166061,USD,true,SEED,PX00010,B2
EQ-AAPL,BBG,2025-06-30T21:00:00Z,CLOSE,204.547531,USD,true,SEED,PX00011,B2
EQ-AAPL,BBG,2025-09-30T21:00:00Z,CLOSE,254.145599,USD,true,SEED,PX00012,B2
EQ-AAPL,BBG,2025-12-31T21:00:00Z,CLOSE,271.605835,USD,true,SEED,PX00013,B2
EQ-AAPL,BBG,2026-01-31T21:00:00Z,CLOSE,259.237427,USD,true,SEED,PX00014,B2
EQ-AAPL,BBG,2026-03-19T21:00:00Z,CLOSE,248.960007,USD,true,SEED,PX00015,B2
EQ-AAPL,BBG,2026-03-20T21:00:00Z,CLOSE,247.990005,USD,true,SEED,PX00016,B2
EQ-MSFT,BBG,2025-01-02T21:00:00Z,CLOSE,414.568573,USD,true,SEED,PX00017,B2
EQ-MSFT,BBG,2025-03-31T21:00:00Z,CLOSE,372.538025,USD,true,SEED,PX00018,B2
EQ-MSFT,BBG,2025-06-30T21:00:00Z,CLOSE,494.537201,USD,true,SEED,PX00019,B2
EQ-MSFT,BBG,2025-09-30T21:00:00Z,CLOSE,515.805115,USD,true,SEED,PX00020,B2
EQ-MSFT,BBG,2025-12-31T21:00:00Z,CLOSE,482.518677,USD,true,SEED,PX00021,B2
EQ-MSFT,BBG,2026-01-31T21:00:00Z,CLOSE,429.31012,USD,true,SEED,PX00022,B2
EQ-MSFT,BBG,2026-03-19T21:00:00Z,CLOSE,389.019989,USD,true,SEED,PX00023,B2
EQ-MSFT,BBG,2026-03-20T21:00:00Z,CLOSE,381.869995,USD,true,SEED,PX00024,B2
EQ-NVDA,BBG,2025-01-02T21:00:00Z,CLOSE,138.264694,USD,true,SEED,PX00025,B2
EQ-NVDA,BBG,2025-03-31T21:00:00Z,CLOSE,108.354462,USD,true,SEED,PX00026,B2
EQ-NVDA,BBG,2025-06-30T21:00:00Z,CLOSE,157.96376,USD,true,SEED,PX00027,B2
EQ-NVDA,BBG,2025-09-30T21:00:00Z,CLOSE,186.559509,USD,true,SEED,PX00028,B2
EQ-NVDA,BBG,2025-12-31T21:00:00Z,CLOSE,186.489914,USD,true,SEED,PX00029,B2
EQ-NVDA,BBG,2026-01-31T21:00:00Z,CLOSE,191.119659,USD,true,SEED,PX00030,B2
EQ-NVDA,BBG,2026-03-19T21:00:00Z,CLOSE,178.559998,USD,true,SEED,PX00031,B2
EQ-NVDA,BBG,2026-03-20T21:00:00Z,CLOSE,172.699997,USD,true,SEED,PX00032,B2
