from_currency_code,to_currency_code,rate_date,rate,source_system,source_ref,ingest_batch_id
EUR,USD,2025-01-02,1.035186,SEED,FX0001,B2
USD,EUR,2025-01-02,0.96600997,SEED,FX0002,B2
GBP,USD,2025-01-02,1.251925,SEED,FX0003,B2
USD,GBP,2025-01-02,0.79876989,SEED,FX0004,B2
AUD,USD,2025-01-02,0.61942,SEED,FX0005,B2
USD,AUD,2025-01-02,1.61441348,SEED,FX0006,B2
EUR,GBP,2025-01-02,0.82683,SEED,FX0007,B2
GBP,EUR,2025-01-02,1.20943846,SEED,FX0008,B2
EUR,JPY,2025-01-02,163.255997,SEED,FX0009,B2
JPY,EUR,2025-01-02,0.00612535,SEED,FX0010,B2
GBP,JPY,2025-01-02,197.404999,SEED,FX0011,B2
JPY,GBP,2025-01-02,0.00506573,SEED,FX0012,B2
EUR,CHF,2025-01-02,0.93964,SEED,FX0013,B2
CHF,EUR,2025-01-02,1.06423737,SEED,FX0014,B2
JPY,USD,2025-01-02,0.00634039,SEED,FX0015,B2
USD,JPY,2025-01-02,157.718994,SEED,FX0016,B2
CAD,USD,2025-01-02,0.69567153,SEED,FX0017,B2
USD,CAD,2025-01-02,1.43746,SEED,FX0018,B2
CHF,USD,2025-01-02,1.1016249,SEED,FX0019,B2
USD,CHF,2025-01-02,0.90775,SEED,FX0020,B2
HKD,USD,2025-01-02,0.1282,SEED,FX0021,B2
SGD,USD,2025-01-02,0.743,SEED,FX0022,B2
CNH,USD,2025-01-02,0.137,SEED,FX0023,B2
USD,HKD,2025-01-02,7.8,SEED,FX0024,B2
USD,SGD,2025-01-02,1.344,SEED,FX0025,B2
USD,CNH,2025-01-02,7.28,SEED,FX0026,B2
USD,USD,2025-01-02,1.0,SEED,FX0027,B2
EUR,USD,2025-03-31,1.082392,SEED,FX0028,B2
USD,EUR,2025-03-31,0.9238797,SEED,FX0029,B2
GBP,USD,2025-03-31,1.293828,SEED,FX0030,B2
USD,GBP,2025-03-31,0.77290026,SEED,FX0031,B2
AUD,USD,2025-03-31,0.628291,SEED,FX0032,B2
USD,AUD,2025-03-31,1.59161917,SEED,FX0033,B2
EUR,GBP,2025-03-31,0.83655,SEED,FX0034,B2
GBP,EUR,2025-03-31,1.19538581,SEED,FX0035,B2
EUR,JPY,2025-03-31,161.938004,SEED,FX0036,B2
JPY,EUR,2025-03-31,0.0061752,SEED,FX0037,B2
GBP,JPY,2025-03-31,193.565002,SEED,FX0038,B2
JPY,GBP,2025-03-31,0.00516622,SEED,FX0039,B2
EUR,CHF,2025-03-31,0.9534,SEED,FX0040,B2
CHF,EUR,2025-03-31,1.0488777,SEED,FX0041,B2
JPY,USD,2025-03-31,0.00668373,SEED,FX0042,B2
USD,JPY,2025-03-31,149.617004,SEED,FX0043,B2
CAD,USD,2025-03-31,0.69885597,SEED,FX0044,B2
USD,CAD,2025-03-31,1.43091,SEED,FX0045,B2
CHF,USD,2025-03-31,1.13526707,SEED,FX0046,B2
USD,CHF,2025-03-31,0.88085,SEED,FX0047,B2
HKD,USD,2025-03-31,0.1282,SEED,FX0048,B2
SGD,USD,2025-03-31,0.743,SEED,FX0049,B2
CNH,USD,2025-03-31,0.137,SEED,FX0050,B2
USD,HKD,2025-03-31,7.8,SEED,FX0051,B2
USD,SGD,2025-03-31,1.344,SEED,FX0052,B2
USD,CNH,2025-03-31,7.28,SEED,FX0053,B2
USD,USD,2025-03-31,1.0,SEED,FX0054,B2
EUR,USD,2025-06-30,1.172745,SEED,FX0055,B2
USD,EUR,2025-06-30,0.85270029,SEED,FX0056,B2
GBP,USD,2025-06-30,1.371968,SEED,FX0057,B2
USD,GBP,2025-06-30,0.72887997,SEED,FX0058,B2
AUD,USD,2025-06-30,0.653322,SEED,FX0059,B2
USD,AUD,2025-06-30,1.5306388,SEED,FX0060,B2
EUR,GBP,2025-06-30,0.85473,SEED,FX0061,B2
GBP,EUR,2025-06-30,1.1699601,SEED,FX0062,B2
EUR,JPY,2025-06-30,169.453995,SEED,FX0063,B2
JPY,EUR,2025-06-30,0.00590131,SEED,FX0064,B2
GBP,JPY,2025-06-30,198.237,SEED,FX0065,B2
JPY,GBP,2025-06-30,0.00504447,SEED,FX0066,B2
EUR,CHF,2025-06-30,0.93611,SEED,FX0067,B2
CHF,EUR,2025-06-30,1.06825053,SEED,FX0068,B2
JPY,USD,2025-06-30,0.0069196,SEED,FX0069,B2
USD,JPY,2025-06-30,144.516998,SEED,FX0070,B2
CAD,USD,2025-06-30,0.73091935,SEED,FX0071,B2
USD,CAD,2025-06-30,1.36814,SEED,FX0072,B2
CHF,USD,2025-06-30,1.25274037,SEED,FX0073,B2
USD,CHF,2025-06-30,0.79825,SEED,FX0074,B2
HKD,USD,2025-06-30,0.1282,SEED,FX0075,B2
SGD,USD,2025-06-30,0.743,SEED,FX0076,B2
